




##########################################################################################
#CLERIC SPELL ACCESS FOR RAINBOW Servant##################################################
##########################################################################################
Arcane Cleric Spell 3 (Affliction)	KEY:Arcane Cleric Spell ~ Affliction	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level3	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=3|Affliction	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=3
Arcane Cleric Spell 0 (Read Magic)	KEY:Arcane Cleric Spell ~ Read Magic	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Read Magic	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Resistance)	KEY:Arcane Cleric Spell ~ Resistance	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Resistance	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Slash Tongue)	KEY:Arcane Cleric Spell ~ Slash Tongue	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Slash Tongue	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Styptic)	KEY:Arcane Cleric Spell ~ Styptic	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Styptic	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Summon Holy Symbol)	KEY:Arcane Cleric Spell ~ Summon Holy Symbol	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Summon Holy Symbol	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 0 (Virtue)	KEY:Arcane Cleric Spell ~ Virtue	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level0	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=0|Virtue	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=0
Arcane Cleric Spell 1 (Anarchic Water)	KEY:Arcane Cleric Spell ~ Anarchic Water	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Anarchic Water	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Angry Ache)	KEY:Arcane Cleric Spell ~ Angry Ache	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Angry Ache	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Axiomatic Water)	KEY:Arcane Cleric Spell ~ Axiomatic Water	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Axiomatic Water	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Bane)	KEY:Arcane Cleric Spell ~ Bane	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Bane	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Blade of Blood)	KEY:Arcane Cleric Spell ~ Blade of Blood	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Blade of Blood	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Bless Water)	KEY:Arcane Cleric Spell ~ Bless Water	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Bless Water	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Bless)	KEY:Arcane Cleric Spell ~ Bless	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Bless	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Blessed Aim)	KEY:Arcane Cleric Spell ~ Blessed Aim	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Blessed Aim	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Blood Wind)	KEY:Arcane Cleric Spell ~ Blood Wind	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Blood Wind	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Cause Fear)	KEY:Arcane Cleric Spell ~ Cause Fear	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Cause Fear	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Cloak of Shade)	KEY:Arcane Cleric Spell ~ Cloak of Shade	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Cloak of Shade	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Cold Fire)	KEY:Arcane Cleric Spell ~ Cold Fire	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Cold Fire	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Command)	KEY:Arcane Cleric Spell ~ Command	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Command	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Comprehend Languages)	KEY:Arcane Cleric Spell ~ Comprehend Languages	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Comprehend Languages	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Conjure Ice Beast I)	KEY:Arcane Cleric Spell ~ Conjure Ice Beast I	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Conjure Ice Beast I	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Conviction)	KEY:Arcane Cleric Spell ~ Conviction	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Conviction	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Create Ectoplasm)	KEY:Arcane Cleric Spell ~ Create Ectoplasm	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Create Ectoplasm	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Cure Light Wounds)	KEY:Arcane Cleric Spell ~ Cure Light Wounds	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Cure Light Wounds	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Curse Water)	KEY:Arcane Cleric Spell ~ Curse Water	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Curse Water	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Deathwatch)	KEY:Arcane Cleric Spell ~ Deathwatch	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Deathwatch	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Delay Disease)	KEY:Arcane Cleric Spell ~ Delay Disease	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Delay Disease	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Detect Chaos)	KEY:Arcane Cleric Spell ~ Detect Chaos	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Detect Chaos	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Detect Evil)	KEY:Arcane Cleric Spell ~ Detect Evil	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Detect Evil	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Detect Fire)	KEY:Arcane Cleric Spell ~ Detect Fire	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Detect Fire	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Detect Good)	KEY:Arcane Cleric Spell ~ Detect Good	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Detect Good	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Detect Incarnum)	KEY:Arcane Cleric Spell ~ Detect Incarnum	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Detect Incarnum	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Detect Law)	KEY:Arcane Cleric Spell ~ Detect Law	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Detect Law	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Detect Taint)	KEY:Arcane Cleric Spell ~ Detect Taint	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Detect Taint	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Detect Undead)	KEY:Arcane Cleric Spell ~ Detect Undead	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Detect Undead	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Dispel Ward)	KEY:Arcane Cleric Spell ~ Dispel Ward	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Dispel Ward	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Divine Favor)	KEY:Arcane Cleric Spell ~ Divine Favor	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Divine Favor	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Doom)	KEY:Arcane Cleric Spell ~ Doom	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Doom	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Drug Resistance)	KEY:Arcane Cleric Spell ~ Drug Resistance	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Drug Resistance	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Ease of Breath)	KEY:Arcane Cleric Spell ~ Ease of Breath	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Ease of Breath	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Ebon Eyes)	KEY:Arcane Cleric Spell ~ Ebon Eyes	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Ebon Eyes	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Endure Elements)	KEY:Arcane Cleric Spell ~ Endure Elements	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Endure Elements	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Entropic Shield)	KEY:Arcane Cleric Spell ~ Entropic Shield	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Entropic Shield	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Extract Drug)	KEY:Arcane Cleric Spell ~ Extract Drug	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Extract Drug	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Faith Healing)	KEY:Arcane Cleric Spell ~ Faith Healing	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Faith Healing	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Favorable Sacrifice)	KEY:Arcane Cleric Spell ~ Favorable Sacrifice	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Favorable Sacrifice	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Fortify Cold Creatures)	KEY:Arcane Cleric Spell ~ Fortify Cold Creatures	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Fortify Cold Creatures	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Foundation of Stone)	KEY:Arcane Cleric Spell ~ Foundation of Stone	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Foundation of Stone	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Grave Strike)	KEY:Arcane Cleric Spell ~ Grave Strike	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Grave Strike	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Guiding Light)	KEY:Arcane Cleric Spell ~ Guiding Light	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Guiding Light	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Handfire)	KEY:Arcane Cleric Spell ~ Handfire	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Handfire	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Healer's Vision)	KEY:Arcane Cleric Spell ~ Healer's Vision	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Healer's Vision	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Healthful Rest)	KEY:Arcane Cleric Spell ~ Healthful Rest	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Healthful Rest	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Heartache)	KEY:Arcane Cleric Spell ~ Heartache	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Heartache	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Hemorrhage)	KEY:Arcane Cleric Spell ~ Hemorrhage	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Hemorrhage	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Hide from Undead)	KEY:Arcane Cleric Spell ~ Hide from Undead	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Hide from Undead	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Ice Gauntlet)	KEY:Arcane Cleric Spell ~ Ice Gauntlet	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Ice Gauntlet	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Ice Slick)	KEY:Arcane Cleric Spell ~ Ice Slick	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Ice Slick	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Impede)	KEY:Arcane Cleric Spell ~ Impede	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Impede	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Incite)	KEY:Arcane Cleric Spell ~ Incite	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Incite	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Inflict Light Wounds)	KEY:Arcane Cleric Spell ~ Inflict Light Wounds	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Inflict Light Wounds	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Inhibit)	KEY:Arcane Cleric Spell ~ Inhibit	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Inhibit	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
Arcane Cleric Spell 1 (Invest Light Protection)	KEY:Arcane Cleric Spell ~ Invest Light Protection	CATEGORY:Special Ability	TYPE:ArcaneClericSpell.Level1	SPELLKNOWN:CLASS|SPELLCASTER.Arcane=1|Invest Light Protection	COST:0	PREVARGTEQ:ArcaneClericSpells,1	PRESPELLTYPE:1,ARCANE=1
